title,society,price,carpet_area,transaction,status,furnishing,parking,bathroom
"2 BHK Flat  for Sale in Vivan Heights, Chembur, Mumbai",Vivan Heights,₹1.51 Cr ,590 sqft,New Property,Poss. by Dec '27,Unfurnished,,2
"3 BHK Flat  for Sale in YK AND SONS Yashwant Circle, Virar West, Mumbai",YK AND SONS Yashwant Circle,₹1.23 Cr ,1008 sqft,New Property,Poss. by Dec '27,Unfurnished,1 Covered,3
"2 BHK Flat  for Sale in The Dynamix Luma, Andheri East, Mumbai",The Dynamix Luma,₹2.50 Cr ,735 sqft,New Property,Poss. by Sep '27,Unfurnished,,2
"2 BHK Flat  for Sale in Blue Regency II, Kandivali West, Mumbai",Blue Regency II,₹2.23 Cr ,950 sqft,New Property,Ready to Move,Unfurnished,"1 Covered,",2
"2 BHK Flat  for Sale in Promont By Sheth Realty and Aakshaya Realty, Sion, Mumbai",Promont By Sheth Realty and Aakshaya Realty,₹2.14 Cr ,684 sqft,New Property,Poss. by Dec '27,Unfurnished,1 Covered,2
"2 BHK Flat  for Sale in RNA NG Grand Empire, Navghar Road, Mumbai",RNA NG Grand Empire,₹1.10 Cr ,580 sqft,New Property,Poss. by Dec '26,Semi-Furnished,1 Covered,2
"3 BHK Flat  for Sale in Kalpataru Srishti Namaah, Mira Road Area, Mumbai",Kalpataru Srishti Namaah,₹2.03 Cr ,979 sqft,New Property,Poss. by Jun '28,Semi-Furnished,,3
"3 BHK Flat  for Sale in Ashwin Sheth Edmont Aurelia, Kandivali West, Mumbai",Ashwin Sheth Edmont Aurelia,₹3.65 Cr ,1255 sqft,New Property,Poss. by Aug '29,Unfurnished,1 Covered,3
"2 BHK Flat  for Sale in L&T Elixir Reserve, Powai, Mumbai",L&T Elixir Reserve,₹3.09 Cr ,810 sqft,New Property,Poss. by Dec '26,Unfurnished,,2
"3 BHK Flat  for Sale in L&T Rejuve 360, Mulund West, Mumbai",L&T Rejuve 360,₹2.90 Cr ,912 sqft,New Property,Poss. by Dec '26,Unfurnished,1 Covered,3
"3 BHK Flat  for Sale in Ruparel Vivanza, Byculla East, Mumbai",Ruparel Vivanza,₹4.22 Cr ,1093 sqft,New Property,Poss. by Mar '27,Unfurnished,1 Covered,3
"3 BHK Flat  for Sale in Shapoorji Pallonji The Odyssey 1, Girgaon, Mumbai",Shapoorji Pallonji The Odyssey 1,₹13.86 Cr ,1155 sqft,New Property,Poss. by Aug '31,Unfurnished,1 Covered,4
"2 BHK Flat  for Sale in Evershine Amavi 303, Virar West, Mumbai",Evershine Amavi 303,₹65.5 Lac ,612 sqft,New Property,Ready to Move,Unfurnished,,2
"2 BHK Flat  for Sale in Vaastu Omkar, Vile Parle East, Mumbai",Vaastu Omkar,₹2.08 Cr ,694 sqft,New Property,Poss. by Dec '25,Unfurnished,,2
"2 BHK Flat  for Sale in WMI Ashford Regal, Bhandup West, Mumbai",WMI Ashford Regal,₹1.56 Cr ,650 sqft,New Property,Poss. by Jun '27,Unfurnished,,2
"2 BHK Apartment for Sale in Kalpataru Srishti Namaah, Mira Road Area Mumbai",Kalpataru Srishti Namaah,₹1.19 Cr ,645 sqft,New Property,Poss. by Dec '29,Unfurnished,1 Covered,2
"2 BHK Apartment for Sale in Rivali Park Moonrise, Borivali East Mumbai",Rivali Park Moonrise,₹1.90 Cr ,770 sqft,New Property,Poss. by Jun '30,Unfurnished,1 Covered,2
"3 BHK Apartment for Sale in Integrated The Cozy Corner, Ghatkopar East Mumbai",Integrated The Cozy Corner,₹3.26 Cr ,950 sqft,New Property,Poss. by Jun '25,Unfurnished,1 Covered,3
"3 BHK Apartment for Sale in Ajmera Manhattan, Wadala Mumbai",Ajmera Manhattan,₹3.03 Cr ,977 sqft,New Property,Poss. by Jun '27,Unfurnished,1 Covered,3
"3 BHK Apartment for Sale in N Rose Northern Hills, Dahisar East Mumbai",N Rose Northern Hills,₹3.20 Cr ,1026 sqft,New Property,Poss. by Dec '26,Unfurnished,,3
"3 BHK Apartment for Sale in Purva Clermont, Chembur Mumbai",Purva Clermont,₹4.39 Cr ,974 sqft,New Property,Poss. by Jun '25,Unfurnished,1 Covered,2
"3 BHK Apartment for Sale in Gami Jaydeep Estella, Chembur East Mumbai",Gami Jaydeep Estella,₹2.52 Cr ,955 sqft,New Property,Poss. by Mar '27,Unfurnished,1 Covered,2
"2 BHK Apartment for Sale in Ratan Heritage, Jogeshwari East Mumbai",Ratan Heritage,₹1.53 Cr ,652 sqft,New Property,Poss. by Dec '25,Unfurnished,1 Covered,2
"2 BHK Apartment for Sale in Mahindra Vista, Kandivali East Mumbai",Mahindra Vista,₹2.08 Cr ,600 sqft,New Property,Poss. by Dec '29,Unfurnished,1 Covered,2
"2 BHK Apartment for Sale in Mahindra Vista, Kandivali East Mumbai",Mahindra Vista,₹2.20 Cr ,860 sqft,New Property,Poss. by Dec '29,Unfurnished,1 Covered,2
"3 BHK Apartment for Sale in Silver Stellar, Ghatkopar East Mumbai",Silver Stellar,₹4.21 Cr ,1202 sqft,New Property,Poss. by Dec '28,Unfurnished,,3
"2 BHK Apartment for Sale in Avant Heritage V, Jogeshwari East Mumbai",Avant Heritage V,₹2.11 Cr ,729 sqft,New Property,Poss. by Dec '27,Unfurnished,,2
"2 BHK Apartment for Sale in Godrej Horizon, Wadala Mumbai",Godrej Horizon,₹3.11 Cr ,734 sqft,New Property,Poss. by Mar '26,Unfurnished,1 Covered,2
"2 BHK Apartment for Sale in Piramal Mahalaxmi, Mahalakshmi Mumbai",Piramal Mahalaxmi,₹4.62 Cr ,762 sqft,New Property,Poss. by Dec '25,Semi-Furnished,1 Covered,2
"3 BHK Apartment for Sale in Godrej Reserve, Kandivali East Mumbai",Godrej Reserve,₹4.46 Cr ,1341 sqft,New Property,Poss. by Jun '30,Unfurnished,,3
"3 BHK Apartment for Sale in Kalpataru Vivant, Jogeshwari Vikhroli Link Road Mumbai",Kalpataru Vivant,₹3.35 Cr ,992 sqft,New Property,Poss. by Dec '26,Unfurnished,1 Covered,3
"3 BHK Apartment for Sale in Lokhandwala Minerva, Mahalakshmi Mumbai",Lokhandwala Minerva,₹12.35 Cr ,2058 sqft,New Property,Poss. by Dec '23,Unfurnished,,3
"3 BHK Apartment for Sale in Purva Clermont, Chembur Mumbai",Purva Clermont,₹4.43 Cr ,974 sqft,New Property,Poss. by Jun '25,Unfurnished,1 Covered,2
"2 BHK Apartment for Sale in Mahindra Vista, Kandivali East Mumbai",Mahindra Vista,₹2.20 Cr ,860 sqft,New Property,Poss. by Dec '29,Unfurnished,1 Covered,2
"2 BHK Apartment for Sale in Marathon Neovalley Narmada, Bhandup West Mumbai",Marathon Neovalley Narmada,₹96 Lac ,481 sqft,New Property,Poss. by Dec '27,Unfurnished,1 Covered,2
"3 BHK Apartment for Sale in Lodha Aura, Wadala Mumbai",Lodha Aura,₹4.84 Cr ,1306 sqft,New Property,Poss. by Dec '26,Unfurnished,1 Covered,3
"2 BHK Apartment for Sale in Abrol Signature, Malad West Mumbai",Abrol Signature,₹1.38 Cr ,659 sqft,New Property,Ready to Move,Unfurnished,1 Covered,2
"3 BHK Apartment for Sale in Mahant Sahyadree, Goregaon East Mumbai",Mahant Sahyadree,₹2.05 Cr ,761 sqft,New Property,Poss. by Dec '27,Unfurnished,1 Covered,3
"2 BHK Apartment for Sale in Piramal Revanta, Mulund West Mumbai",Piramal Revanta,₹2.39 Cr ,854 sqft,New Property,Poss. by Mar '27,Unfurnished,1 Covered,2
